,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Montreal,0.0,267714.0,0.0,470590.0,0.0,618555.0,0.0,818666.0,0.0,903058.0,0.0,1094419.0,0.0,2157943.0,0.0,2808595.0,1.0,2923264.0,1.0,3209116.0,1.0,3654167.0,1.0,4031844.0
Toronto,1.0,208083.0,1.0,376524.0,1.0,521928.0,1.0,631201.0,1.0,667516.0,1.0,662132.0,1.0,1824506.0,1.0,2609638.0,0.0,3498967.0,0.0,4293065.0,0.0,5004011.0,0.0,5852602.0
Quebec,2.0,68845.0,6.0,78722.0,6.0,95224.0,4.0,130643.0,7.0,150855.0,9.0,167023.0,7.0,357634.0,8.0,476226.0,6.0,619763.0,5.0,708728.0,9.0,476330.0,6.0,783564.0
Ottawa,3.0,59917.0,4.0,87116.0,5.0,107894.0,5.0,126964.0,6.0,155059.0,6.0,215195.0,5.0,429872.0,4.0,596295.0,3.0,793315.0,3.0,956743.0,3.0,1126321.0,3.0,1303536.0
Hamilton,4.0,52638.0,5.0,82096.0,4.0,114227.0,7.0,115599.0,5.0,166324.0,5.0,237708.0,6.0,395294.0,7.0,495913.0,9.0,529406.0,8.0,643286.0,6.0,697023.0,8.0,748208.0
Winnipeg,5.0,42375.0,2.0,136052.0,2.0,179196.0,3.0,218830.0,3.0,222053.0,4.0,256739.0,4.0,476031.0,5.0,534775.0,7.0,584836.0,7.0,652417.0,7.0,619540.0,7.0,756937.0
Halifax,6.0,40822.0,8.0,46699.0,10.0,58482.0,12.0,59340.0,11.0,70570.0,14.0,90956.0,10.0,183936.0,17.0,220438.0,16.0,277756.0,16.0,325526.0,13.0,374410.0,12.0,404389.0
St. Johns,7.0,40740.0,11.0,42583.0,11.0,47207.0,14.0,47506.0,15.0,51754.0,22.0,56780.0,19.0,95641.0,23.0,131875.0,23.0,154808.0,27.0,174286.0,26.0,177681.0,18.0,204542.0
London,8.0,38090.0,9.0,46393.0,9.0,61052.0,9.0,71041.0,10.0,78395.0,13.0,100671.0,11.0,181353.0,12.0,284548.0,15.0,283729.0,12.0,419584.0,10.0,458586.0,10.0,439584.0
Saint Johns,9.0,29682.0,12.0,32300.0,15.0,37451.0,16.0,42642.0,19.0,41599.0,-1.0,0.0,22.0,90844.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Edmonton,10.0,27034.0,7.0,49973.0,7.0,88870.0,6.0,119267.0,4.0,173846.0,3.0,324031.0,3.0,537695.0,3.0,690853.0,4.0,657127.0,6.0,700471.0,5.0,984555.0,5.0,1234370.0
Vancouver,11.0,26111.0,3.0,100445.0,3.0,117249.0,2.0,246654.0,2.0,275444.0,2.0,362005.0,2.0,790263.0,2.0,1071143.0,2.0,1468211.0,2.0,1857766.0,2.0,2098170.0,2.0,2419030.0
Victoria,12.0,20869.0,13.0,31758.0,13.0,38723.0,18.0,39108.0,16.0,44130.0,23.0,52967.0,13.0,154226.0,18.0,197221.0,18.0,246527.0,19.0,308159.0,16.0,328301.0,14.0,358422.0
Kingston,13.0,18070.0,22.0,18059.0,24.0,21895.0,27.0,23437.0,28.0,30112.0,29.0,48067.0,30.0,63487.0,42.0,77009.0,33.0,115020.0,32.0,136450.0,33.0,154919.0,24.0,164326.0
Brantford,14.0,15799.0,17.0,23008.0,18.0,29430.0,21.0,30156.0,24.0,31973.0,25.0,51653.0,34.0,56779.0,50.0,65081.0,44.0,90939.0,45.0,113674.0,39.0,129629.0,29.0,139845.0
Windsor,15.0,12018.0,23.0,18053.0,14.0,38641.0,10.0,63136.0,8.0,105339.0,11.0,120597.0,9.0,193405.0,14.0,258600.0,19.0,246135.0,20.0,279666.0,20.0,209220.0,15.0,329884.0
Charlottetown,16.0,11476.0,37.0,11213.0,44.0,12362.0,52.0,12459.0,56.0,14564.0,88.0,16442.0,91.0,19057.0,97.0,32063.0,83.0,45069.0,87.0,57589.0,84.0,62539.0,51.0,68154.0
Hull,17.0,11309.0,21.0,18191.0,20.0,24111.0,22.0,29412.0,22.0,32935.0,28.0,48989.0,33.0,56905.0,55.0,62823.0,74.0,56282.0,85.0,60734.0,80.0,66246.0,-1.0,0.0
Guelph,18.0,10676.0,29.0,14432.0,29.0,18188.0,32.0,21113.0,35.0,23353.0,39.0,35027.0,40.0,43784.0,45.0,72973.0,43.0,91216.0,44.0,114021.0,38.0,131172.0,27.0,147992.0
Saint-Thomas,19.0,10409.0,32.0,13253.0,34.0,16097.0,45.0,15471.0,47.0,17118.0,78.0,19046.0,81.0,22561.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,73.0,40973.0
Sherbrooke,20.0,10107.0,19.0,18458.0,21.0,23580.0,23.0,28976.0,20.0,36002.0,20.0,62615.0,23.0,89451.0,28.0,111813.0,29.0,139767.0,26.0,174709.0,23.0,185838.0,17.0,206578.0
Trois-Rivieres,21.0,10083.0,26.0,16260.0,23.0,22437.0,19.0,35512.0,18.0,42097.0,26.0,50234.0,24.0,83726.0,33.0,97936.0,36.0,111523.0,33.0,136373.0,36.0,143138.0,26.0,153875.0
Belleville,22.0,9975.0,38.0,11102.0,46.0,12229.0,49.0,13853.0,52.0,15714.0,68.0,20529.0,55.0,30751.0,88.0,35239.0,-1.0,0.0,-1.0,0.0,60.0,84098.0,34.0,104710.0
Sydney,23.0,9933.0,24.0,17707.0,22.0,23180.0,30.0,22537.0,31.0,28351.0,42.0,31798.0,18.0,106101.0,36.0,91216.0,45.0,87557.0,42.0,116125.0,-1.0,0.0,-1.0,0.0
Peterborough,24.0,9732.0,20.0,18360.0,26.0,21088.0,31.0,22304.0,25.0,31604.0,31.0,45148.0,28.0,64498.0,39.0,80622.0,39.0,100778.0,46.0,111976.0,45.0,116736.0,32.0,122472.0
Saskatoon,25.0,9639.0,34.0,12048.0,19.0,25797.0,17.0,41772.0,17.0,43083.0,18.0,70801.0,16.0,112732.0,25.0,126499.0,25.0,154242.0,24.0,210054.0,19.0,232779.0,16.0,280764.0
Stratford,26.0,9506.0,-1.0,0.0,33.0,16100.0,40.0,17729.0,49.0,17014.0,73.0,19878.0,88.0,20533.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,30516.0
Moncton,27.0,9050.0,36.0,11368.0,31.0,17568.0,33.0,20753.0,37.0,22825.0,38.0,35610.0,35.0,55831.0,47.0,71420.0,41.0,98447.0,41.0,119352.0,44.0,123776.0,28.0,142812.0
Woodstock,28.0,8822.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,18219.0,89.0,20500.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,76.0,37443.0
Brockville,29.0,8812.0,-1.0,0.0,55.0,10001.0,58.0,9791.0,73.0,11367.0,-1.0,0.0,99.0,17731.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sarnia,30.0,8292.0,35.0,11627.0,37.0,14963.0,39.0,18296.0,43.0,18735.0,32.0,43118.0,31.0,61331.0,41.0,78424.0,47.0,84043.0,57.0,87970.0,63.0,79637.0,38.0,99547.0
Cambridge,31.0,7560.0,-1.0,0.0,41.0,13282.0,47.0,14025.0,55.0,15320.0,60.0,23641.0,66.0,27814.0,52.0,64100.0,51.0,77296.0,54.0,92845.0,47.0,110372.0,-1.0,0.0
Owen Sound,32.0,7540.0,-1.0,0.0,45.0,12253.0,51.0,12867.0,60.0,14067.0,86.0,16712.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Galt,33.0,7506.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,54.0,15358.0,59.0,23647.0,65.0,27892.0,77.0,38903.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Waterloo,34.0,7385.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,86.0,9070.0,90.0,16330.0,86.0,21411.0,79.0,37934.0,79.0,49409.0,71.0,71256.0,59.0,86543.0,-1.0,0.0
Levis,35.0,7351.0,-1.0,0.0,53.0,10505.0,54.0,11759.0,69.0,12083.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Thunder Bay,36.0,7211.0,15.0,27719.0,16.0,35478.0,15.0,46180.0,14.0,55078.0,17.0,76673.0,21.0,93331.0,29.0,111590.0,32.0,121432.0,40.0,124465.0,42.0,126844.0,31.0,125024.0
Saint-Hyacinthe,37.0,7076.0,42.0,9029.0,50.0,10982.0,50.0,13416.0,44.0,17867.0,70.0,20364.0,53.0,31738.0,75.0,39735.0,90.0,38249.0,93.0,50190.0,98.0,50390.0,63.0,47289.0
New Westminster,38.0,6767.0,18.0,20045.0,39.0,14512.0,41.0,17524.0,38.0,22016.0,43.0,31446.0,50.0,33753.0,73.0,42179.0,88.0,38667.0,-1.0,0.0,92.0,54656.0,-1.0,0.0
Sorel,39.0,6765.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,68.0,12307.0,89.0,16368.0,62.0,28905.0,89.0,34588.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cornwall,40.0,6764.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,59.0,14151.0,83.0,18002.0,41.0,43603.0,66.0,47103.0,76.0,53437.0,89.0,53551.0,99.0,49640.0,54.0,60554.0
Fredericton,41.0,6582.0,46.0,7278.0,62.0,8170.0,61.0,8847.0,79.0,10135.0,82.0,18092.0,75.0,24855.0,80.0,37730.0,64.0,64400.0,70.0,71973.0,-1.0,0.0,57.0,56663.0
Nanaimo,42.0,6508.0,43.0,8292.0,57.0,9113.0,65.0,6756.0,66.0,12423.0,94.0,15257.0,98.0,18091.0,78.0,38816.0,72.0,57794.0,67.0,73559.0,62.0,80993.0,37.0,101242.0
Yarmouth,43.0,6420.0,49.0,6612.0,66.0,7183.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Dartmouth,44.0,6330.0,-1.0,0.0,63.0,7970.0,60.0,9142.0,75.0,10820.0,72.0,20004.0,38.0,47007.0,53.0,64002.0,67.0,62391.0,79.0,67891.0,-1.0,0.0,-1.0,0.0
Chatham,45.0,6248.0,39.0,9821.0,40.0,13395.0,48.0,14013.0,46.0,17426.0,64.0,22205.0,58.0,29875.0,87.0,35344.0,86.0,41041.0,-1.0,0.0,48.0,107341.0,66.0,44676.0
Lindsay,46.0,6193.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,93.0,8497.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Truro,47.0,6054.0,53.0,6159.0,65.0,7683.0,-1.0,0.0,78.0,10317.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Barrie,48.0,5681.0,51.0,6420.0,67.0,6936.0,62.0,7736.0,81.0,9748.0,65.0,21858.0,47.0,36430.0,59.0,60717.0,38.0,101196.0,37.0,126495.0,28.0,161642.0,19.0,194432.0
Salaberry-de-Valleyfield,49.0,5565.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,48.0,17102.0,61.0,23558.0,57.0,29882.0,81.0,37473.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,75.0,38323.0
Dawson,51.0,5077.0,61.0,3041.0,85.0,1088.0,79.0,855.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Esquimalt,52.0,5020.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Collingwood,53.0,4982.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cobourg,54.0,4852.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Niagara Falls,55.0,4648.0,40.0,9742.0,38.0,14837.0,35.0,19088.0,40.0,20649.0,35.0,37966.0,27.0,75932.0,24.0,126554.0,20.0,210923.0,15.0,351539.0,12.0,394772.0,11.0,404524.0
Pembroke,56.0,4473.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,74.0,11249.0,95.0,15240.0,92.0,18860.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Brandon,57.0,4340.0,45.0,7570.0,36.0,15477.0,42.0,17188.0,45.0,17632.0,55.0,24632.0,63.0,28277.0,-1.0,0.0,99.0,36240.0,-1.0,0.0,-1.0,0.0,64.0,45624.0
Calgary,58.0,4290.0,10.0,43703.0,8.0,63312.0,8.0,83879.0,9.0,88927.0,7.0,177938.0,8.0,279183.0,9.0,403326.0,5.0,626020.0,4.0,768650.0,4.0,1007469.0,4.0,1300352.0
Port Hope,59.0,4227.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ingersoll,60.0,4224.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Trenton,61.0,4213.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,8331.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Aylmer,62.0,4185.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Oshawa,63.0,4173.0,44.0,8049.0,47.0,11925.0,28.0,23401.0,29.0,28848.0,27.0,50186.0,25.0,80968.0,27.0,120395.0,24.0,154292.0,21.0,250167.0,18.0,315099.0,13.0,372378.0
Portage la Prairie,64.0,3932.0,54.0,5904.0,68.0,6517.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Lachine,65.0,3869.0,-1.0,0.0,35.0,15487.0,37.0,18618.0,42.0,20147.0,40.0,34383.0,46.0,38625.0,68.0,44491.0,94.0,37511.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
New Glasgow,66.0,3833.0,50.0,6460.0,58.0,9013.0,-1.0,0.0,85.0,9248.0,-1.0,0.0,84.0,22017.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Orillia,67.0,3709.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,80.0,9894.0,-1.0,0.0,96.0,18271.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,82.0,30546.0
Lauzon,68.0,3691.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Dundas,69.0,3625.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Joliette,70.0,3444.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,64.0,12749.0,84.0,16917.0,83.0,22294.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,70.0,42850.0
Newcastle,71.0,3053.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,49598.0,-1.0,0.0,-1.0,0.0
Cote-Saint-Luc,72.0,3040.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
