,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1946,city.5,1954,city.6,1961,city.7,1975,city.8,1982,city.9,1990,city.10,1999,city.11,2007
Paris,0,3626783,0,3880446,0,3922480,0,4210982,0,4686304,0,6130573,0,8159234,0,9042635,0,9120945,0,9554192,0,9738809,0,10303282
Lille,1,731825,1,801802,3,739609,2,848315,2,898056,3,879675,1,1118864,3,960264,3,962531,3,977917,3,999797,3,1014239
Marseille,2,638438,3,680411,2,816343,1,861855,1,915494,1,1058409,3,1014025,2,1299506,1,1413201,2,1367593,1,1463016,1,1558379
Lyon,3,511198,2,689338,1,917776,3,729802,3,850479,2,956347,2,1020448,1,1355318,2,1313071,1,1416653,2,1428149,2,1508813
Nice,4,361225,4,384835,4,399593,7,294698,4,512161,7,382467,4,640465,6,560384,4,780716,6,667346,4,889163,4,947075
Saint-…tienne,5,258158,6,261513,8,268076,11,234759,10,293792,14,228973,12,324031,13,380892,12,409938,18,300505,14,381378,15,372967
Toulouse,6,258055,7,249632,7,275436,5,363096,6,375075,9,370454,7,449863,5,647467,6,588509,5,731341,6,761963,5,859338
Rouen,7,254342,5,362782,6,346326,15,190750,9,347057,19,183980,8,398860,7,547391,10,450316,11,456254,11,463273,11,464294
Bordeaux,8,246074,10,213988,5,367491,4,492812,5,500677,4,560098,5,562467,4,722488,5,676765,4,856263,5,773636,6,831788
Valenciennes,9,230979,8,234894,9,234480,6,323086,11,258785,21,162818,13,310683,12,426331,15,349334,17,315525,17,334569,18,333492
Nancy,10,202675,9,219986,10,213209,33,86978,14,213537,11,283427,18,233561,14,363568,18,284441,19,287243,21,288096,21,286108
Douai - Lens,11,200586,17,157762,14,183339,10,235029,7,367525,5,554655,6,533163,8,461735,7,533985,10,464766,9,518146,9,511345
Grenoble,12,183409,12,177445,15,177495,16,181508,12,233246,8,373415,11,325438,9,453110,11,450223,7,526891,10,483646,10,495342
Metz,13,169867,15,168623,18,162365,18,178657,17,183252,20,183612,17,233958,22,241423,19,279814,20,281674,20,290336,20,290851
Strasbourg,14,165494,11,195725,13,185878,8,291153,15,202790,10,299487,15,266467,16,327296,13,391877,12,410644,12,435059,12,449798
Tours,15,164744,13,173467,17,175108,45,54703,26,118881,17,205022,20,212610,18,285567,17,301915,16,335977,18,332315,17,344739
Le Havre,16,160252,16,166229,12,193476,13,200087,16,196908,13,252427,16,244132,17,286184,21,261452,25,231174,24,256558,24,244745
Avignon,17,146941,19,149312,19,148291,17,178847,20,160117,25,144169,19,215252,23,238211,14,352534,14,379499,13,405426,13,440651
Nantes,18,133077,14,170515,11,198087,21,133378,8,360172,12,252565,9,396834,11,431843,8,476295,8,506701,7,557947,7,584306
Toulon,19,131562,21,126788,20,129568,9,242451,18,165939,6,500371,10,329312,10,441336,9,469027,9,501648,8,527814,8,556538
Reims,20,128404,20,135234,23,96664,26,99576,24,130739,32,113872,26,158675,30,187858,28,201443,28,206229,28,215581,29,211966
OrlÈans,21,126405,22,122150,21,119095,12,220691,21,138495,22,156698,25,171392,25,217735,25,220478,24,243153,22,263292,22,268468
BÈthune,22,124005,18,153019,16,176592,19,157292,13,232172,37,97595,14,274779,15,340703,16,341084,13,407359,15,346888,16,350068
Brest,23,114468,23,121575,33,74054,95,20333,40,76069,34,111916,30,144749,29,198999,29,201145,29,204524,30,206589,31,201666
Mulhouse,24,93861,24,105491,22,108037,24,121622,22,135185,23,154524,24,176821,24,226296,24,227933,26,230451,25,237975,25,243618
Amiens,25,90824,25,93295,24,92838,78,27092,38,84868,62,50236,38,109960,33,169114,37,157644,48,116381,38,163601,39,163158
Limoges,26,84162,26,92204,26,90298,34,85695,28,107958,35,106001,37,121091,35,156666,34,173855,39,149378,35,176733,35,184066
Angers,27,82443,27,83823,28,86229,40,69806,32,94421,29,122164,28,152343,28,201808,30,195559,22,261606,27,220037,27,220313
NÓmes,28,80648,28,80433,29,82811,85,25434,35,91703,68,43056,40,105200,58,89443,38,145107,32,191782,39,162662,37,176079
Montpellier,29,76049,29,80281,31,81515,42,67536,33,93145,87,32152,35,123409,19,283573,20,263397,15,349101,16,344877,14,384165
Rennes,30,74778,30,79496,30,82290,25,110986,25,123855,18,188816,23,187760,21,253244,23,251163,21,266003,19,293546,19,304729
Dijon,31,72110,31,76815,27,88621,22,133175,23,133523,24,148405,22,196612,34,165514,26,218984,33,190703,26,236953,26,237924
Le Mans,32,63376,34,69400,36,71883,35,78947,30,100543,33,112113,32,136169,20,268766,27,203829,27,208755,29,208205,30,208283
Calais,33,59784,33,72305,35,73009,39,70242,54,50008,56,57319,56,70723,95,53807,55,95696,55,96815,54,99616,54,98391
Clermont-Ferrand,34,56777,32,75466,25,92629,27,98784,19,162713,15,224803,21,210571,26,209234,22,256189,23,254416,23,258541,23,261281
BesanÁon,35,55496,37,58004,38,55737,30,90987,45,63584,39,92523,41,101747,37,152604,45,125934,40,134501,42,134376,43,135808
Boulogne-sur-Mer,36,55004,40,53115,39,55383,94,21354,62,41657,47,69837,59,63560,60,84529,56,94346,62,85164,56,92704,60,89983
Dunkerque,37,54467,41,52295,47,44710,36,74098,31,98078,16,219150,27,158033,39,141307,31,194485,31,194506,33,192253,36,182813
Lorient,38,54385,43,49093,44,46387,29,92485,53,50394,42,81576,47,87013,53,97584,49,110823,49,115488,50,116174,49,116401
Troyes,39,53731,39,55521,40,55219,46,54386,47,60957,53,60343,54,73514,43,128895,42,130849,44,128546,43,131336,44,133279
BÈziers,40,52323,42,51088,37,56022,43,60489,44,64666,43,76347,52,75592,85,60321,61,85057,56,93991,67,80835,67,85354
Bayonne,41,50494,45,45991,43,46627,32,89221,36,86491,36,101359,34,133588,32,185638,33,176722,36,163635,31,204132,28,219618
Saint-Quentin,42,50344,38,55617,57,37356,96,20119,55,48634,73,39485,62,62656,83,62492,70,72925,74,71169,80,68379,89,65694
Thionville,43,48638,35,65752,34,73517,14,195116,27,109234,46,70132,31,137234,47,111207,40,137294,43,129224,44,130442,45,130922
Bourges,44,46697,46,45773,45,45922,47,52341,52,51004,50,64900,60,63540,69,74449,57,91119,60,86096,58,88456,65,86769
Caen,45,45410,44,46926,42,53754,41,69040,34,92497,26,141111,29,152005,27,202051,32,187672,30,201512,32,203110,33,199145
Cherbourg-Octeville,46,42920,48,43784,54,38326,66,37050,61,43104,31,117229,53,73683,62,83706,59,87186,65,83012,57,90864,62,87482
MontbÈliard,47,40913,36,58008,32,79049,23,132882,29,105837,40,89152,36,122829,41,131045,43,128194,45,124609,51,113059,53,108768
Poitiers,48,39905,49,41288,56,37754,61,40578,42,68582,74,39412,42,96257,48,110326,50,106978,50,110289,48,121125,46,129653
SËte,49,37759,60,33041,58,36577,87,24914,70,37302,71,40226,78,45105,76,66437,80,65692,63,84599,72,75987,64,86879
AngoulÍme,50,37738,54,38277,60,34949,44,58850,43,65308,44,73465,44,93847,45,126976,51,106876,47,117510,53,106419,52,109009
Colmar,51,36883,47,43825,49,42337,56,43225,58,46133,51,63964,58,64336,99,51148,62,83687,66,81082,60,88416,58,90842
Perpignan,52,36266,50,39563,41,53784,31,90258,41,75028,48,68828,48,86259,38,142165,36,159946,38,155458,36,169298,34,187569
Saint-Nazaire,53,35864,53,38339,50,41601,70,32326,107,11823,61,52119,65,59201,36,156405,41,132812,37,159084,41,140418,41,148578
Roanne,54,34964,56,36722,55,37859,38,71556,60,44503,45,73401,66,53271,65,79835,58,88472,54,98758,66,81742,70,79159
Pau,55,34349,55,37115,46,45753,28,92600,37,86277,28,125378,33,134512,44,127062,35,167701,34,176211,34,184111,32,199199
Maubeuge,56,33318,52,38340,48,44211,37,71815,39,77185,27,127774,39,109223,42,130217,44,127904,52,109791,49,119657,51,115404
Belfort,57,32630,51,39418,52,39320,59,42512,69,37491,66,43411,69,51399,61,83872,67,78317,57,91854,68,80049,68,81745
PÈrigueux,58,32036,58,33513,61,33447,84,25469,63,40940,90,29115,86,41120,64,81905,78,67037,91,62073,79,69337,80,71496
La Rochelle,59,31666,57,36435,51,39804,82,25734,49,58909,41,82672,46,88480,49,109122,48,111041,46,119259,47,122073,47,127033
Montauban,60,30515,65,29887,73,26196,62,40531,72,36330,57,55312,81,43406,82,62507,90,59539,86,66175,93,64039,81,71343
Laval,61,30487,63,30338,70,27507,107,13880,79,32589,81,34719,82,43288,101,49065,87,61163,103,53805,88,66321,88,66743
ArmentiËres,62,29444,70,28656,64,32965,52,46325,56,48039,70,40593,61,63526,107,37195,71,72397,100,56864,71,76438,76,75757
Chalon-sur-SaÙne,63,29130,61,31656,66,31677,75,28623,57,47937,60,53028,57,66896,59,89225,68,78196,72,73062,73,75447,78,74059
…pinal,64,28174,64,30009,69,28457,102,17801,95,23485,104,17637,96,34811,84,61809,82,64349,95,60135,92,64119,95,62867
Nevers,65,27700,71,27788,68,29870,57,43209,66,39174,54,58903,67,53098,80,64182,73,68736,89,64041,89,66162,96,62579
Valence,66,26909,68,28810,53,38724,54,45069,48,60001,52,62303,43,95079,46,113057,47,115905,51,110084,46,122744,48,126832
Ch‚lons-en-Champagne,67,26757,62,31488,67,31264,79,26766,80,31105,107,14044,77,45350,87,59318,85,63061,88,64386,97,60013,105,57764
Charleville-MÈziËres,68,26743,59,33164,65,32357,65,37536,67,38979,59,53931,68,52585,92,55403,75,68499,77,68659,85,66637,97,62096
Tarbes,69,26162,69,28695,71,26694,63,39275,59,44961,85,32644,70,50773,54,95802,65,81695,68,78387,69,77962,73,78147
Arras,70,25829,73,26139,76,24851,69,33437,78,33344,75,38351,75,45657,70,72943,63,83587,64,83261,64,84413,66,86693
Bastia,71,25460,67,29432,63,33128,105,14536,71,36699,98,26787,100,31415,88,58141,95,56084,99,57704,102,55602,93,63483
Ch‚teauroux,72,25035,72,26140,72,26686,100,18320,73,34678,102,19491,73,46875,103,43965,77,67158,96,58949,87,66448,90,65346
AlËs,73,24994,66,29801,59,36544,49,51360,51,54357,72,40218,55,71334,63,82737,64,83529,61,85933,63,85328,59,90660
Vienne,74,24642,75,24732,80,23726,73,29505,64,39847,86,32168,63,61285,66,79008,69,77806,87,64799,62,87192,57,91796
Chartres,75,24109,76,24109,82,23300,101,17949,85,28479,96,28109,87,40723,52,98567,66,78835,73,71929,61,87824,63,87339
Niort,76,23954,79,23839,81,23684,81,25989,84,29606,105,16801,79,44644,100,50567,79,66304,78,68561,83,67510,83,70289
Blois,77,23819,77,24075,78,24071,55,44613,88,26828,80,35406,93,36407,89,57567,86,62622,69,77764,81,67935,85,67984
Vannes,78,23444,80,23759,85,21486,86,25350,86,28280,93,28476,98,34064,105,42882,96,56073,70,74936,76,71601,75,75832
Albi,79,22662,74,25000,74,25107,92,22481,74,34367,83,33229,84,41358,74,67204,84,64087,84,66745,82,67873,79,72688
Agen,80,22515,81,23335,79,23976,109,6333,77,33480,103,19306,95,35267,67,78449,81,65051,101,55878,77,70862,72,78517
Saint-Brieuc,81,22224,78,23957,77,24514,58,42952,50,58194,67,43208,49,77143,56,91035,60,85823,59,86187,59,88419,56,92235
ChambÈry,82,22112,82,23063,86,20639,74,29413,82,30032,64,46526,72,47434,31,186241,39,137366,35,172911,37,163602,38,174833
Ajaccio,83,21834,84,21213,83,22667,88,24661,90,26060,77,36432,99,33687,96,52464,100,54089,97,58614,106,52930,92,64432
Vichy,84,20933,95,16551,92,17576,48,51938,65,39198,69,40847,83,42608,71,71677,76,67591,82,66925,90,64909,91,64977
Saint-Omer,85,20916,86,20573,89,19221,90,23104,100,18113,109,13445,105,20978,97,51743,88,60889,75,70197,94,63754,98,61861
Beauvais,86,20315,88,19944,88,19334,104,15293,96,23288,84,33228,92,36584,78,65975,97,55817,81,67382,99,59003,101,59016
Brive-la-Gaillarde,87,19572,83,21511,84,21730,60,41237,76,33534,79,36135,80,43772,57,90779,72,70056,90,62102,75,72099,74,76357
Quimper,88,19493,89,19211,90,18404,80,26751,99,19052,108,13485,71,50763,98,51444,74,68734,76,69167,70,77256,71,78951
Cholet,89,19405,85,21148,108,4600,76,27883,89,26107,106,15038,91,37614,91,55428,92,58632,102,55784,100,57710,104,58007
Bourg-en-Bresse,90,18975,87,20515,87,20214,106,13883,91,25991,58,53996,94,35672,94,54688,101,53463,98,57968,101,57198,103,58356
…vreux,91,18368,91,18648,91,18261,108,11948,98,20481,92,28778,88,40234,75,67087,99,54654,108,45331,96,60108,99,61551
Haguenau,92,18087,90,18933,96,15806,99,18705,102,17332,65,44478,104,21893,72,69851,104,46942,106,48894,103,54537,102,58937
Romans-sur-IsËre,93,17146,93,17032,104,12569,77,27309,97,22236,99,23668,101,27706,90,57186,102,48965,94,61452,107,52715,108,54758
CompiËgne,94,16539,94,16831,95,16213,50,49455,94,24783,82,34668,89,39876,79,65244,83,64134,67,78915,78,69903,82,71221
Bergerac,95,15989,96,16135,94,17049,93,22283,93,25337,88,31987,85,41328,68,76029,94,56919,92,61789,95,60336,94,62941
Annecy,96,15414,97,15680,97,15037,72,30065,75,33640,78,36234,64,60297,50,105253,46,119269,42,131718,40,143402,40,153288
Draguignan,97,14597,98,14584,99,14565,20,156324,108,11808,100,22619,108,16147,109,30578,105,46797,107,47141,91,64349,77,74174
Menton,98,13964,92,17126,75,25074,103,17544,92,25411,95,28224,90,38948,106,39512,91,59198,85,66269,86,66480,84,70228
Meaux,99,13767,100,13587,102,13563,83,25471,105,14272,97,26867,102,23357,108,35389,98,55192,83,66923,84,66945,86,67566
Salon-de-Provence,100,12941,99,14128,98,14901,97,19595,103,15854,101,19538,103,22670,93,55201,106,44606,104,51267,108,50017,107,54858
Creil,101,9166,102,10194,93,17263,64,38948,81,30098,38,93874,51,76866,51,104234,52,105519,53,105437,52,110688,50,116214
La Teste-de-Buch - Arcachon,102,8373,101,10289,105,11493,68,33455,104,14678,63,47628,109,15872,102,47296,108,42877,79,68115,104,54204,100,59774
Forbach,103,8257,103,10154,62,33246,51,47512,46,61365,30,121945,45,91396,40,132343,53,100448,71,73967,55,92845,61,87978
Bourgoin-Jallieu,104,7309,106,7100,109,1400,71,31945,109,8600,76,36833,107,16529,73,69801,109,32994,80,67891,109,46868,109,52225
Thonon-les-Bains,105,6345,108,6313,107,6344,91,22543,106,13235,89,29486,106,18516,104,43723,103,47383,105,50621,98,59774,87,67354
Saint-Just-Saint-Rambert,106,5842,107,6547,106,7829,98,19357,101,17894,91,28785,97,34576,81,63407,107,43377,109,38538,105,54034,106,57629
FrÈjus,107,4204,104,8736,100,14235,67,34003,83,29847,94,28454,74,45985,86,60094,89,60289,58,91249,65,83937,55,93805
Annemasse,108,2844,105,7334,101,14208,53,45109,68,38089,49,65179,50,77010,55,95091,54,99833,41,132374,45,127085,42,145507
Cluses,109,2268,109,5532,103,12955,89,23934,87,27409,55,57364,76,45634,77,65995,93,57198,93,61719,74,73194,69,81322
